pergunta,resposta,categoria
Como faço login no sistema?,"Acesse app.nola.com.br, insira seu e-mail e senha. Se esqueceu a senha, clique em ""Esqueci minha senha"".",Acesso
"O sistema está fora do ar, o que faço?","Verifique sua conexão. Se persistir, contate o suporte pelo e-mail suporte@nola.com.br",Suporte
Como emito relatório de vendas?,"Acesse Relatórios > Vendas, selecione o período e clique em Exportar.",Relatórios
Como cadastro um produto no cardápio?,"Vá em Cardápio > Produtos > Novo Produto, preencha os dados e salve.",Cardápio
Como integro com o iFood?,Acesse Integrações > iFood e siga o passo a passo para vincular seu restaurante.,Integrações
Como cancelo um pedido?,"Abra o pedido em Pedidos > Em andamento, clique em ""Cancelar pedido"" e confirme.",Pedidos
Como adiciono um usuário?,"Vá em Configurações > Usuários > Novo Usuário, insira o e-mail e defina o perfil.",Configurações
O leitor de cartão não funciona.,"Verifique conexão e bateria do dispositivo. Reinicie o app. Se persistir, chame o suporte.",Suporte
Como faço para emitir nota fiscal?,"Acesse Financeiro > Notas Fiscais, selecione o pedido e clique em Emitir NF.",Financeiro
Como vejo os pedidos do dia?,Acesse o menu Pedidos > Hoje para visualizar todos os pedidos do dia em tempo real.,Pedidos
Como recupero minha senha?,"Na tela de login, clique em ""Esqueci minha senha"", informe seu e-mail e siga as instruções enviadas.",Acesso
O sistema não aceita meu login. O que fazer?,"Verifique se o Caps Lock está ativado. Tente redefinir a senha. Se persistir, contate o suporte.",Acesso
Como faço login no app mobile?,"Baixe o app Nola na App Store ou Google Play, abra e insira seu e-mail e senha cadastrados.",Acesso
Posso acessar o sistema em mais de um dispositivo?,"Sim, o sistema permite acesso simultâneo em múltiplos dispositivos com o mesmo login.",Acesso
Como altero meu e-mail de acesso?,"Acesse Configurações > Meu Perfil > Editar e atualize o campo e-mail. Confirme pelo e-mail atual.",Acesso
O app está lento. Como resolver?,"Feche e reabra o app. Verifique sua conexão de internet. Limpe o cache do dispositivo se necessário.",Suporte
Recebi uma mensagem de erro. O que fazer?,"Anote o código do erro e entre em contato com o suporte pelo chat ou e-mail suporte@nola.com.br.",Suporte
Como entro em contato com o suporte?,"Pelo chat dentro do sistema, pelo e-mail suporte@nola.com.br ou pelo WhatsApp indicado no rodapé.",Suporte
Qual o horário de atendimento do suporte?,"O suporte está disponível de segunda a sábado das 8h às 22h, e domingos das 10h às 18h.",Suporte
